index,id,reference_text,transcription,success
10,20100615-0900-PLENARY-4-en_20100615-10:49:30_5,THE EUROPEAN FOOD SAFETY AUTHORITY IS COMPLETELY SWAMPED AND THE COMMISSION HAS NOT YET GIVEN A SINGLE OPINION IN RESPONSE TO THESE APPLICATIONS,"Felly, mae'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud",True
11,20121212-0900-PLENARY-12-en_20121212-18:16:41_2,I THINK WE SHOULD NOT PUNISH THE CITIZENS OF RUSSIA FOR WHAT WE HAVE TO CRITICISE THE REGIME AND GOVERNMENT FOR,I think we should not punish the citizens of Russia for what we have to criticize on the regime and on the government.,True
12,20181128-0900-PLENARY-en_20181128-21:37:32_23,IN PARTICULAR THE CONCLUSION OF THE TREATY ON FRIENDSHIP GOOD NEIGHBOURLINESS AND COOPERATION WITH BULGARIA AND THE SIGNATURE OF THE AGREEMENT ON THE NAME ISSUE WITH GREECE HAVE DEMONSTRATED THE GOVERNMENT'S DETERMINATION TO RESOLVE ALL OUTSTANDING BILATERAL ISSUES AND BUILD GOOD NEIGHBOURLY RELATIONS WITH ALL COUNTRIES IN THE REGION,"In particular, the conclusion of the Treaty on Friendship, good neighborliness and cooperation with Bulgaria, and the signature of the agreement on the name issue with Greece have demonstrated the government's determination to resolve all outstanding bilateral issues and build good, neighborly relations with all countries in the region.",True
13,20200709-0900-PLENARY-en_20200709-09:52:21_7,DISSIDENTS FROM ALL AROUND THE WORLD WILL BE GRATEFUL,dissidents from all around the world will be grateful.,True
14,20170213-0900-PLENARY-16-en_20170213-21:48:28_12,THE COMMISSION'S DEPARTMENTS MUST DO THEIR UTMOST TO GUARANTEE A BALANCED REPRESENTATION,Commission's departments must do their utmost to guarantee a balanced representation.,True
15,20121211-0900-PLENARY-9-en_20121211-16:38:08_13,I THEREFORE WANT TO THANK COLLEAGUES FOR THAT SUPPORT THROUGHOUT THE YEAR BUT ALSO THE SUPPORT THAT THEY WILL HOPEFULLY GIVE TOMORROW IN THE VOTE,"Felly, rydyn ni'n gwybod i'r ffordd o'r ffordd i'r ffordd i'r ffordd i'r ffordd i'r ffordd i'r ffordd i'r ffordd i'r ffordd i'r ffordd i'r ffordd i'r ffordd i'r ffordd i'r ffordd i'r ffordd i'r ffordd i'r ffordd i'r ffordd i'r ffordd i'r ffordd i'r ffordd i'r ffordd i'r ffordd i'r ffordd i'r ffordd i'r ffordd i'r ffordd i'r ffordd i'r ffordd i'r ffordd i'r ffordd i'r ffordd i'r ffordd i'r ffordd i'r ffordd i'r ffordd i'r ffordd i'r ffordd i'r ffordd i'r ffordd i'r ffordd i'r ffordd i'r ffordd i'r ffordd i'r ffordd i'r ffordd i'r ffordd i'r ffordd i'r ffordd i'r ffordd i'r ffordd i'r ffordd i'r ffordd i'r ffordd i'r ffordd i'r ffordd i'r ffordd i'r ffordd i'r ffordd i'r ffordd i'r ffordd i'r ffordd i'r ffordd i'r ffordd i'r ffordd i'r ffordd i'r ffordd i'r ffordd i'r ffordd i'r ffordd i'r ffordd i'r ffordd",True
16,20120510-0900-PLENARY-5-en_20120510-08:32:30_6,LET ME TURN TO THE MOST IMPORTANT QUESTION OF ANY DISCHARGE PROCEDURE WHETHER OR NOT TO GRANT DISCHARGE,"But let me now turn to the most important question of any discharge procedure, whether to grant or not grant discharge.",True
17,20110308-0900-PLENARY-6-en_20110308-12:16:33_5,ALMOST AS PATRONISING AS GIVING THE WOMEN IN THIS ROOM A ROSE WHEN THEY CAME IN,almost as patronising as giving the women in this room a rose when they came in.,True
18,20120313-0900-PLENARY-15-en_20120313-21:34:21_4,THEY STATED THAT ALTHOUGH THE ALIGNMENT OF FISHING CAPACITY TO FISHING OPPORTUNITIES IS ONE OF THE CORNERSTONES OF THE CFP AND THE EFF FISHING OVERCAPACITY HAS NEVER BEEN DEFINED OR QUANTIFIED THE COMMISSIONER SAID IN A RECENT SPEECH THAT BUILDING UP HEALTHY FISH STOCKS IN OUR WATERS IS THE BEST WAY TO INCREASE FISHERMEN'S INCOMES,"They stated that although the alignment of fishing capacity to fishing opportunities is one of the cornerstones of the CFP and the EFF, fishing over capacity has never been defined or quantified. Now, Commissioner, you said in a recent speech that building up healthy fish stocks in our waters is the best way to increase fisherman's income.",True
19,20181129-0900-PLENARY-en_20181129-10:48:29_13,AND OF COURSE AS PART OF OUR PREPARATIONS WE WILL CONSULT AS MANY STAKEHOLDERS AS POSSIBLE,"And of course, as part of our preparations, we will consult as many stakeholders as possible",True
20,20121121-0900-PLENARY-9-en_20121121-16:10:56_10,AMONG OTHER THINGS THIS MEANS THAT WE MUST ADOPT A SECOND COMMITMENT PERIOD OF THE KYOTO PROTOCOL AS PART OF THE TRANSITION TO THE NEW FUTURE REGIME,"Among other things, this means that we must adopt a second commitment period of the Kyoto Protocol as part of the transition to the new future regime.",True
21,20191126-0900-PLENARY-en_20191126-22:37:31_10,IT DOES NEED REFORM IN ALL AREAS IN THE DAILY WORK WHEN IT COMES TO TRANSPARENCY AND REPORTING IN THE DECISION MAKING PROCESS WHEN IT COMES TO DEALING WITH NEW ISSUES SUCH AS E COMMERCE WHERE WE'RE DOING SOME WORK AS WELL AND UPDATING THE RULE BOOK TO ADDRESS ISSUES SUCH AS MASSIVE,mae'n gweithio'n gweithio'n gweithio'n gweithio'n gweithio'n gweithio'n gweithio'n gweithio'n gweithio'n gweithio'n gweithio'n gweithio'n gweithio'n gweithio'n gweithio'n gweithio'n gweithio'n gweithio'n gweithio'n gweithio'n gweithio'n gweithio'n gweithio'n gweithio'n gweithio'n gweithio'n gweithio'n gweithio'n gweithio'n gweithio'n gweithio'n gweithio'n gweithio'n gweithio'n gweithio'n gweithio'n gweithio'n gweithio'n gweithio'n gweithio'n gweithio'n gweithio'n gweithio'n gweithio'n gweithio'n gweithio'n gweithio'n gweithio'n gweithio'n gweithio'n gweithio'n gweithio'n gweithio'n gweithio'n gweithio'n gweithio'n gweithio'n gweithio'n gweithio'n gweithio'n gweithio'n gweithio'n gweithio'n gweithio'n gweithio'n gweithio'n gweithio'n gweithio'n gweithio'n gweithio'n gweithio'n gweithio'n gweithio'n gweith,True
22,20150211-0900-PLENARY-12-en_20150211-17:26:59_57,I WANT IT TO BE A VISIBLE AND MEANINGFUL DEBATE,I wanted to be a visible and meaningful debate.,True
23,20140415-0900-PLENARY-6-en_20140415-11:21:58_12,INSTEAD POLITICIANS ARE USING IT TO CONTROL PEOPLE'S LIVES,"Instead, politicians are using it to control people's lives.",True
24,20110510-0900-PLENARY-16-en_20110510-20:04:43_5,FOR THAT WE WILL DO THE PRUDENT WORK AND THEN COME TO OUR AUTHORISING ENVIRONMENT TO THE COUNCIL AND TO PARLIAMENT FOR YOUR APPROVAL OF THE APPROACH WE ARE PROPOSING TO FILL GAPS,"And for that, we will do the prudent work and then come to our authorizing environment, to the council and to the parliament for your approval of the approach we are proposing to fill gaps.",True
25,20170614-0900-PLENARY-15-en_20170614-15:08:04_7,BUT IN RECENT MONTHS THERE SEEMS TO HAVE BEEN A SHIFT IN PERCEPTION OF THE EU RATHER THAN BEING CONSIDERED AS THE SOURCE OF MANY OF OUR WOES THE EU IS SEEN AS PART OF THE SOLUTION,"But in recent months, there seems to have been a shift in perception of the EU. Rather than considering the EU as the source of many of our worlds, the EU is seen as part of the solution.",True
26,20091215-0900-PLENARY-3-en_20091215-09:58:51_18,THAT IS ALMOST THE SAME AMOUNT THAT THE UNITED KINGDOM CONTRIBUTES TO THE EUROPEAN UNION,almost the same amount that the United Kingdom contributes to the European Union.,True
27,20110607-0900-PLENARY-11-en_20110607-19:07:38_3,AT THE POLICY LEVEL SPECIFIC OBJECTIVES AND ROAD MAPS HAVE BEEN SET IN RECENT POLICY DOCUMENTS,"Felly, mae'r cyfnod o'r cyfnod o'r cyfnod o'r cyfnod o'r cyfnod o'r cyfnod o'r cyfnod o'r cyfnod o'r cyfnod o'r cyfnod o'r cyfnod o'r cyfnod o'r cyfnod o'r cyfnod o'r cyfnod o'r cyfnod o'r cyfnod o'r cyfnod o'r cyfnod o'r cyfnod o'r cyfnod o'r cyfnod o'r cyfnod o'r cyfnod o'r cyfnod o'r cyfnod o'r cyfnod o'r cyfnod o'r cyfnod o'r cyfnod o'r cyfnod o'r cyfnod o'r cyfnod o'r cyfnod o'r cyfnod o'r cyfnod o'r cyfnod o'r cyfnod o'r cyfnod o'r cyfnod o'r cyfnod o'r cyfnod o'r cyfnod o'r cyfnod o'r cyfnod o'r cyfnod o'r cyfnod o'r cyfnod o'r cyfnod o'r cyfnod o'r cyfnod o'r cyfnod o'r cyfnod o'r cyfnod o'r cyfnod o'r cyfnod o'r cyfnod o'r cyfnod o'r cyfnod o'r cyfnod o'r cyfnod o'r cyfnod o'r cyfnod",True
28,20151006-0900-PLENARY-12-en_20151006-15:21:20_45,HOWEVER IN LIGHT OF THE VOLKSWAGEN PROBLEM AND DRAWING CONCLUSIONS FROM WHAT HAS OCCURRED WE WILL ANALYSE OUR PROPOSAL AGAIN AND WILL SUGGEST FURTHER CHANGES THAT WILL PREVENT SIMILAR EVENTS FROM HAPPENING,"However, in light of Volkswagen problem and drawing conclusions from what has occurred, we will analyze our proposal again and will suggest further changes that will prevent similar events from happening.",True
29,20151202-0900-PLENARY-8-en_20151202-18:49:07_26,THEY ARE THE STAKEHOLDERS THAT CAN DRIVE PROSPERITY AND OFFER QUALITY JOBS,qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe qe,True
30,20181212-0900-PLENARY-en_20181212-15:17:57_22,ALSO THEREFORE WE ARE PUTTING A PREMIUM ON INVESTMENT,En daarom hebben we een premie op investering.,True
31,20201111-0900-PLENARY-en_20201111-18:41:54_26,LAST YEAR A FAR RIGHT TERRORIST ATTACKED A SYNAGOGUE IN HALLE IN GERMANY,"Last year, a far-right terrorist attacked a synagogue in Halle in Germany.",True
32,20180705-0900-PLENARY-16-en_20180705-15:05:30_5,IT TAKES THE COURAGE OF WOMEN AND MEN WHO ARE CHALLENGING THE STATUS QUO PEOPLE WHO WANT PAKISTAN TO BE A BETTER PLACE NOT JUST FOR WOMEN AND MINORITIES BUT FOR ALL ITS PEOPLE,"It takes the courage of women and men who are challenging the status quo, people who want Pakistan to be a better place, not just for women and minorities, but for all its people.",True
33,20190213-0900-PLENARY-en_20190213-21:32:07_4,EQUALLY THERE IS SIGNIFICANT EVIDENCE FROM SURVEYS OF BUS DRIVERS AND TRADE UNION REPORTS THAT AS OTHERS HAVE SAID THE LIBERALISATION ALREADY IN PLACE IN MANY MEMBER STATES HAS IMPACTED NEGATIVELY ON DRIVERS TERMS AND CONDITIONS OF WORK,"Felly, mae'r cyfnod o'r cyfnod o'r cyfnod o'r cyfnod o'r cyfnod o'r cyfnod o'r cyfnod o'r cyfnod o'r cyfnod o'r cyfnod o'r cyfnod o'r cyfnod o'r cyfnod o'r cyfnod o'r cyfnod o'r cyfnod o'r cyfnod o'r cyfnod o'r cyfnod o'r cyfnod o'r cyfnod o'r cyfnod o'r cyfnod o'r cyfnod o'r cyfnod o'r cyfnod o'r cyfnod o'r cyfnod o'r cyfnod o'r cyfnod o'r cyfnod o'r cyfnod o'r cyfnod o'r cyfnod o'r cyfnod o'r cyfnod o'r cyfnod o'r cyfnod o'r cyfnod o'r cyfnod o'r cyfnod o'r cyfnod o'r cyfnod o'r cyfnod o'r cyfnod o'r cyfnod o'r cyfnod o'r cyfnod o'r cyfnod o'r cyfnod o'r cyfnod o'r cyfnod o'r cyfnod o'r cyfnod o'r cyfnod o'r cyfnod o'r cyfnod o'r cyfnod o'r cyfnod o'r cyfnod o'r cyfnod o'r cyfnod o'r cyfnod",True
34,20190326-0900-PLENARY-en_20190326-19:08:29_9,AND THINGS WILL CONTINUE TO CHANGE,and things will continue to change.,True
35,20150706-0900-PLENARY-13-en_20150706-22:04:29_3,HOWEVER I THINK WE HAVE A BIGGER PROBLEM WITH WEBSITES OUTSIDE THE EUROPEAN UNION,"However, I think we have a bigger problem with websites outside of the European Union.",True
36,20111012-0900-PLENARY-12-en_20111012-17:49:16_4,OF COURSE CORRUPTION AND ORGANISED CRIME ARE SERIOUS ISSUES BUT THE APPROACH TO THESE SERIOUS ISSUES IS DISINGENUOUS AND IS CREATING A PROBLEM WITH ONE OF THE KEY PRINCIPLES OF THE EUROPEAN UNION AND ITS FREEDOMS,"Wrth gwrs, gweithio a'r ysgrifennu sy'n gweithio'r ysgrifennu sy'n gweithio'r ysgrifennu sy'n gweithio'r ysgrifennu sy'n gweithio'r ysgrifennu sy'n gweithio'r ysgrifennu sy'n gweithio'r ysgrifennu sy'n gweithio'r ysgrifennu sy'n gweithio'r ysgrifennu sy'n gweithio'r ysgrifennu sy'n gweithio'r ysgrifennu sy'n gweithio'r ysgrifennu sy'n gweithio'r ysgrifennu sy'n gweithio'r ysgrifennu sy'n gweithio'r ysgrifennu sy'n gweithio'r ysgrifennu sy'n gweithio'r ysgrifennu sy'n gweithio'r ysgrifennu sy'n gweithio'r ysgrifennu sy'n gweithio'r ysgrifennu sy'n gweithio'r ysgrifennu sy'n gweithio'r ysgrifennu sy'n gweithio'r ysgrifennu sy'n gweithio'r ysgrifennu sy'n gweithio'r ysgrifennu sy'n gweithio'r ysgrifennu sy'n gweithio'r ysgrifennu sy'n gweithio'r ysgrifennu sy'n gweithio'r ysgrifennu sy'n gwe",True
37,20180314-0900-PLENARY-13-en_20180314-15:10:20_11,AS PART OF THIS PACKAGE THE COUNCIL HAS ALSO STARTED EXAMINING THE PROPOSAL FOR A CYBERSECURITY ACT THAT ADDRESSES THE NEED FOR A STRONG AND PERMANENT MANDATE FOR ENISA REFERRED TO AS THE EU CYBERSECURITY AGENCY AND FOR ENHANCING THE EU CYBERSECURITY CERTIFICATION TO PROMOTE THE AVAILABILITY OF SECURE PRODUCTS AND SERVICES,"As part of this package, the Council has also started examining the proposal for a Cybersecurity Act that addresses the need for a strong and permanent mandate for an ESA referred to as the EU Cybersecurity Agency and for enhancing the EU Cybersecurity Certification to promote the availability of secure products and services.",True
38,20090311-0900-PLENARY-24-en_20090311-23:10:59_19,THE SRI LANKAN GOVERNMENT FORCES INDISCRIMINATELY ATTACKED ALL PARTS OF THE SAFE ZONE USING EVERY KIND OF LETHAL SHELLS SOME OF THEM BANNED IN MANY COUNTRIES,"The Sri Lankan government forces indiscriminately attacked all parts of the safe zone using every kind of lethal shells, some of them banned in many countries.",True
39,20151215-0900-PLENARY-11-en_20151215-17:15:54_2,BUT WHAT HAPPENED IN PARIS LAST WEEK IS A REAL GAME CHANGER AND VERY IMPORTANT BECAUSE IT WILL GIVE US REASON TO BE OPTIMISTIC FOR THE FUTURE AND THAT IS WHAT WE NEED,But what has happened in Paris next last week is a real game changer and very important because it will give us reason to be optimistic for the future and that's what we need.,True
40,20171213-0900-PLENARY-22-en_20171213-21:40:27_2,IT IS A SOBERING FACT THAT EVERY NINE MINUTES THE INTERNET WATCH FOUNDATION'S ANALYSTS ENCOUNTER A WEB PAGE THAT SHOWS CHILDREN BEING SEXUALLY ABUSED,Mae'r ffordd yw'r ffordd yw'r ffordd yw'r ffordd yw'r ffordd yw'r ffordd yw'r ffordd yw'r ffordd yw'r ffordd yw'r ffordd yw'r ffordd yw'r ffordd yw'r ffordd yw'r ffordd yw'r ffordd yw'r ffordd yw'r ffordd yw'r ffordd yw'r ffordd yw'r ffordd yw'r ffordd yw'r ffordd yw'r ffordd yw'r ffordd yw'r ffordd yw'r ffordd yw'r ffordd yw'r ffordd yw'r ffordd yw'r ffordd yw'r ffordd yw'r ffordd yw'r ffordd yw'r ffordd yw'r ffordd yw'r ffordd yw'r ffordd yw'r ffordd yw'r ffordd yw'r ffordd yw'r ffordd yw'r ffordd yw'r ffordd yw'r ffordd yw'r ffordd yw'r ffordd yw'r ffordd yw'r ffordd yw'r ffordd yw'r ffordd yw'r ffordd yw'r ffordd yw'r ffordd yw'r ffordd yw'r ffordd yw'r ffordd yw'r ffordd yw'r ffordd yw'r ffordd yw'r ffordd yw'r ffordd yw'r ffordd yw'r ffordd yw'r,True
41,20130911-0900-PLENARY-3-en_20130911-09:58:03_47,IS NOT ENOUGH WE WANT ACTION FROM,We want action also from the Council.,True
42,20121121-0900-PLENARY-16-en_20121121-21:48:33_44,WORLDWIDE THIS WILL IMPROVE OUR STANDING AS AN IMPORTANT FISHING AND MARKET ENTITY FOR SOUND AND EFFICIENT FISHERIES MANAGEMENT,"To imače naša standarja, kako je zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo zelo",True
43,20181128-0900-PLENARY-en_20181128-20:56:12_1,THIS AGREEMENT OFFERS KOSOVO AN OPPORTUNITY FOR SUSTAINABLE PROGRESS AND RAPPROCHEMENT WITH THE EUROPEAN UNION,agreement offers Kosovo an opportunity to sustainable progress and reproachment with the European Union.,True
44,20170314-0900-PLENARY-10-en_20170314-17:34:41_8,WE NEED TO INVEST MORE IN HUMAN RIGHTS NGOS AND CIVIL SOCIETY AND INVEST IN EDUCATION FOR TRUE DEMOCRATIC VALUES TO RAISE A NEW GENERATION OF HUMAN RIGHTS DEFENDERS,Rydym yn cael ei wneud yn gweithio gweithio gweithio gweithio gweithio gweithio gweithio gweithio gweithio gweithio gweithio gweithio gweithio gweithio gweithio gweithio gweithio gweithio gweithio gweithio gweithio gweithio gweithio gweithio gweithio gweithio gweithio gweithio gweithio gweithio gweithio gweithio gweithio gweithio gweithio gweithio gweithio gweithio gweithio gweithio gweithio gweithio gweithio gweithio gweithio gweithio gweithio gweithio gweithio gweithio gweithio gweithio gweithio gweithio gweithio gweithio gweithio gweithio gweithio gweithio gweithio gweithio gweithio gweithio gweithio gweithio gweithio gweithio gweithio gweithio gweithio gweithio gweithio gweithio gweithio gweithio gweithio gweithio gweithio gweithio gweithio gweithio gweithio gweithio gweithio gweithio gweithio gweithio gweithio gweithio gweithio gweithio gweithio gweithio gweithio gweithio gweithio gweithio gweithio gweithio gweithio gweithio gweithio gweithio gweithio gweithio gweithio gweithio g,True
45,20120315-0900-PLENARY-4-en_20120315-10:27:56_30,SO PLEASE LOOK AT THE EUROBAROMETER,So please look at the euro barometer.,True
46,20120910-0900-PLENARY-18-en_20120910-19:49:10_6,CONCERNING THE UNITED STATES THE EU HOLDS A REGULAR DIALOGUE WITH THE US ON HUMAN RIGHTS AND COUNTER TERRORISM ISSUES AND WE HAVE A DIALOGUE WITH THE US STATE DEPARTMENT LEGAL ADVISER ON ALL ASPECTS OF INTERNATIONAL LAW,"Concerning the United States, the EU holds a regular dialogue with the U.S. on human rights and counterterrorism issues. And we have a dialogue with the U.S. State Department legal advisor on all aspects of international law.",True
47,20150428-0900-PLENARY-8-en_20150428-13:31:18_7,OTHER INFORMATION WILL ALSO BE REQUIRED FOR EXAMPLE DATA TO DETERMINE THE SHIP'S ENERGY EFFICIENCY IT IS ALSO IMPORTANT THAT THIS PROPOSAL CAN BE IMPLEMENTED WITHOUT MAJOR COSTS BEING INVOLVED,"Other information would also be required, for example data to determine the ship's energy efficiency. It's also important that this proposal can be implemented without major costs being involved.",True
48,20111213-0900-PLENARY-5-en_20111213-09:26:02_21,MORE IMMEDIATELY LEVERAGING OF THE EFSF WILL BE DEPLOYED VERY RAPIDLY WITH THE ECB ACTING AS ITS AGENT IN THE EFSF MARKET OPERATIONS,"More immediately, the leveraging of EFSF will be deployed very rapidly, with this CB acting as its agent in the EFSF market operations.",True
49,20111116-0900-PLENARY-14-en_20111116-21:05:33_12,AS YOU KNOW THIS IS THE CLEAR DIRECTION WE ARE TAKING ESPECIALLY IN THE CONTEXT OF PREPARING HORIZON TWO THOUSAND AND TWENTY HOWEVER SOME PRACTICAL RESULTS OF OUR SIMPLIFICATION POLICY ARE ALREADY VISIBLE IN THIS PROPOSAL,"As you know, this is the clear direction we're taking especially in the context of preparing Horizon 2020. However, some practical results of our simplification policy are already visible in this proposal.",True
